B^{1/4}[MeV], Delta[MeV], m_s[MeV], c[1] 
311.8508959387626 357.0114238161692 111.98017463740112 0.08831778430397819
425.5781989710591 481.31080058866803 116.67755867310082 0.565026937227743
311.0245230613328 440.4480058552659 110.00884514190439 0.9460209067656055
313.2206106791484 127.45225869641946 108.32422086654401 0.8883170412906081
231.43816178716315 126.42536447031117 83.53146427334975 0.011508706373296262
390.3957282580002 463.0798634917725 95.8096312606815 0.14977813636129078
156.38874487821897 34.769328016674926 115.06151168863387 0.487337786944833
426.38743621146153 466.047009997996 102.7087256650881 0.0246654396360938
308.12660049932583 16.42764665148183 97.24092904104083 0.8369236905669022
287.24583303896776 38.52537917343862 101.28133192628098 0.7027938746559573
280.74730647305864 340.7016064373738 104.98156288195348 0.8563122509985055
308.1213552650402 237.43882534600291 91.86110822515607 0.6785754831903964
384.07834236413606 339.3966780048126 109.3813306862657 0.6134351890659859
188.51110520586124 65.27031005188627 102.4302743630031 0.7606545306357876
202.23013910552896 83.46578806498006 103.62757976269666 0.43895019335804464
357.28958441919707 293.769563994985 92.56487433314628 0.1389333604329459
300.8501261947263 194.4098691298425 88.25044177658154 0.9453608102844501
262.0318313769417 354.6968768138203 101.89863554865774 0.4480986717694525
395.6862418691344 438.3631888167143 92.2965352093355 0.5686590975833267
228.68734777921713 244.56451990922628 86.88403497517584 0.13867396637793372
229.88163827989052 222.2262203754418 81.68256895448276 0.9047383862857994
205.31956044424624 3.720822308233618 86.72912868572122 0.8292715154760641
194.22341239519355 97.59942811312838 85.53525428521802 0.08369632658280746
204.03404787705693 53.45974257826286 84.33178348161489 0.18955115834834457
219.27518435796816 118.17053256521154 80.7793991485957 0.7249428175310302
123.32953680034673 20.92564973291744 83.9088545140516 0.7077320065673689
305.667330021285 309.61849046869423 82.35645057331526 0.8059614054275379
335.54315676433845 359.3608115739108 95.43323376833456 0.24707042389525258
332.59324513840085 255.36297476489366 85.4321452207742 0.9888369383554408
335.95008164304966 438.58514247573765 112.5895687298265 0.876977624409981
302.12080292731605 308.3529170688964 98.13137062980059 0.12235316895720305
185.1684565244983 103.5375854395742 119.3971753286315 0.4520564995171663
401.8262618021373 496.49900452164945 84.12210373979721 0.243501014662293
383.52728696086524 358.5478276464825 113.28825139775165 0.6847900987839031
285.19530795922304 450.7280854446928 107.93462799006343 0.3172253847347405
247.22445460111473 226.2404984170304 83.9124589029566 0.2787606005586408
267.1116135544971 292.2362582272417 86.14555536807607 0.17414637837790548
403.2587412360164 422.75614000374526 81.29493523047636 0.6767000209294691
367.9754604739586 359.82667403205653 99.83899136847856 0.4178338580901474
211.96446390043712 23.18869339674523 82.94857642126131 0.7849938251658705
187.45855569544557 22.008032312982262 90.58772228412283 0.13693413102778274
254.42007165619106 215.49919814522121 106.09755329775433 0.706002041891223
392.6631714786197 460.8089003864117 89.60246844286539 0.016865605567530695
274.02427331293734 401.03640392582867 81.55535387240289 0.4451020924348552
264.99248434330235 113.50019495904439 119.2516727868645 0.6286339624302776
150.57413748021506 122.5867493257195 84.41858219694119 0.6931494450392149
254.60464617135432 174.5577147181594 84.2983377056046 0.8675717377505581
278.210558109169 340.2538930332282 118.2411638945852 0.11615464166111777
211.48586923275917 140.82950512846705 112.59384163440828 0.27094636943657224
283.3783730381935 357.8048911435391 94.17855338278125 0.09105950614578262
307.6318961095988 67.48520563768018 110.22055647218298 0.5638363294709233
229.5829307138601 292.7531855412501 101.9788252527398 0.6562094117739814
337.58600497108137 466.3956466052233 93.47822602235298 0.3797372811426898
257.0626151025132 87.84315243795537 105.73681134585598 0.9796324825948344
243.6151611310542 27.412896422935486 101.16498750663887 0.07402599131630438
151.95130965909613 89.45789244667596 86.1293983677638 0.18583274450781295
238.92258376923877 115.86477980508708 89.72739219131594 0.35484493452727284
433.4767691292186 487.6439140840369 98.46705198024759 0.0026119053062698683
243.04401734935772 150.96452656718617 80.35666995135638 0.8093753831262662
334.4515272087105 437.1827823372879 89.47868487442676 0.5918096930540357
336.40909520105674 353.17388233360845 108.60125588117205 0.3112985643693097
323.4400098408602 406.45979356557734 80.79250361383777 0.7332237493797926
131.16217380335848 50.02307701389497 107.31246625836734 0.05534195361106198
165.02833721355356 83.89626507819258 113.05433321524491 0.5328677075960597
316.18624634386674 172.25868069082722 80.69772612197096 0.2059431887294948
249.47279839052106 112.92629480202775 87.17729149146011 0.6803229047603208
322.76748548269575 226.02184794116275 86.41233431767476 0.5395528976273186
239.96912496855472 47.61101221342962 84.29793473381156 0.5991849843031981
250.818946519726 177.0595751519868 98.9815499377898 0.7953374151272978
299.5623070535847 288.925784212223 119.66765417385324 0.2144270173387698
285.221699173813 239.04307948089837 110.25864741269964 0.7147349252931242
294.5541873721888 102.09750724704541 117.91314540471461 0.1785640082820127
289.8067783619366 314.4490221784485 109.2846677890752 0.059563918576427954
314.702692211305 170.88487572225765 83.50835513973308 0.1658321321902213
280.01663172254115 80.90858139696444 108.40871424581734 0.059520457769353996
249.46777072067147 320.11349504565845 92.1451716360794 0.05245102556359449
235.91638941708175 43.805379271529446 83.76133806221249 0.6262728194695942
311.9155669443393 126.29145755774202 116.36939492028168 0.3663308496570755
332.42719485462965 445.12175990323766 99.21136997906952 0.16539515237151514
414.6531049411391 489.52649136108784 114.70787285538961 0.6580620205803317
233.4292650063428 277.50103088304934 108.05035388889101 0.13002260183441283
277.03023880565956 166.89108857676212 83.34974647685905 0.8574126009353625
302.4917904430867 420.63995372661685 83.66674924665976 0.1253704017404932
289.40566426987976 154.6865885187218 96.13389575641037 0.7336694580388538
212.35374820958768 188.78437167544226 116.4965582236517 0.3767076854484078
305.8341834464018 233.02589045995632 97.87067048220845 0.7590854288680524
285.63013414284353 90.0058562682825 118.69963429644525 0.20024879790478123
324.9734994697879 347.73951647237084 102.74182207456278 0.20684345992872188
380.7876248870206 401.2126970761583 110.37640437011441 0.2624789654820924
261.67069031655365 393.0463059644139 98.78868258650662 0.9456757837703464
162.23927213928695 31.524350110247347 108.43861391981787 0.3259229518410862
172.2959863776302 114.0295570848146 84.87735139345675 0.4903671662510025
230.61418433020532 295.34853198346957 106.72686364238093 0.5079739700061294
363.8876984108916 402.761436830264 103.83696333340994 0.4438998167772319
171.53504951543943 143.51546346260346 107.92273801061435 0.10133891367636017
231.40639118730252 139.9945882376189 80.5380147512981 0.9836598912685005
335.7751286099605 392.8146940575482 110.30329893074484 0.4704710180125605
310.57679977124087 101.74445740785315 107.30129366157847 0.20319796718711314
169.49750972001345 142.12016808013934 87.43903050735155 0.45438394073913946
216.20913700851912 281.4853552058096 85.68670277504121 0.7425611885092662
184.5292704377663 89.92781886691247 90.78613394431947 0.7351102647727545
372.3485009003401 357.53469876072944 104.51383583305734 0.24883205352747628
425.89982229704276 444.5557672818807 110.16188436081735 0.29528336976698644
269.8124209893284 6.141240432899209 102.6909435781433 0.32206465857256183
234.01393660886026 56.512786218535446 81.72719302901034 0.550870593082035
240.30999829588978 324.32554247540133 118.92259501850388 0.28971694889212785
237.5991094145345 165.43233633381564 103.34855765856454 0.8385723765020031
314.7880383022232 98.68689808456061 92.00820761173559 0.9731608658887774
281.0378120862106 441.01474565575325 85.6798696665258 0.25856020857558215
367.8554160130468 413.6141824459365 118.89927804217791 0.5482420740971522
300.06356157385414 355.1482802863229 99.52398669416228 0.1414892611587929
276.3283601940009 126.06293939508222 107.88224034967966 0.2036977005144177
167.11423961120028 151.22799560244954 115.09501756786743 0.8319783013924539
210.94721058437744 277.019157055287 90.25280586451764 0.4663965419271685
235.19319682912808 104.96948468296108 119.0365934091985 0.6208796061490514
412.38479021386684 439.77497396396956 98.84258764936538 0.020055504650836387
227.60871162158531 260.28712154166516 117.8183114036368 0.4396445211293185
135.64640049727433 15.547465382729941 83.05518054650692 0.5643684484034083
422.6021242749071 485.51566306602115 100.21750960060147 0.735801325322636
235.82573312661304 119.841395217616 84.59590903066436 0.9374752939558508
212.7140385910507 25.487843539130306 99.74100538663569 0.06442249089624363
298.1451937069107 192.98559088840693 108.12814586119038 0.47195483715642206
344.5139596853672 383.54219543097884 101.45835874455624 0.02975089913515716
398.52273489712866 399.1627649586866 116.16530263617054 0.047307060247306576
237.10706202305428 259.39171950946076 117.54053634716973 0.3049152811634801
288.1550964029786 446.9658663626278 103.17699597246614 0.13183637235033863
244.77546542655793 165.80968409711556 95.2536977102103 0.7752640597340272
300.0594841841857 58.71666393336883 101.50449210464701 0.07892006845838373
237.60388262779298 164.50187506358415 112.04975532634633 0.5011082149494971
257.98902358249376 151.75188611631208 113.75425529253629 0.048367515188478705
183.81555923496387 60.38202501440259 104.95676452994392 0.7870173596466165
178.71846485136723 17.58323955434693 118.96760397677784 0.23859758215532823
392.8901894833314 452.5451626839867 102.51553563852447 0.37144629577360433
198.5824438201771 235.4452771847732 81.91212480889259 0.5886205656384633
384.0512447666573 418.84014969711995 85.6304708430247 0.2635565782720103
177.20894272751323 131.486206003332 80.50780221376576 0.710583949435893
283.99980472586196 159.45414277635135 102.05551976504756 0.42517588449564137
305.36636276316796 402.3361342696282 114.42241500831625 0.41311797639572556
302.88194187084457 76.87391505750213 97.9706212132426 0.22271164168626778
258.5037559869297 134.9229646124153 87.25519088195429 0.3333487997845619
165.8046538049519 119.19267083716318 102.65133534079123 0.5892878185028525
248.4703467300708 354.601561033067 99.53623203967312 0.7636271508241821
272.0278719259924 268.5147557762611 109.51615725783141 0.20273441874786446
312.30074906186803 465.56857962099855 90.70173404714153 0.348802033872306
249.07284885202859 317.523475958027 84.2051146791876 0.7679049335616009
254.4004364892441 225.797594407065 87.27766284243434 0.07377162954083238
260.23271398295196 109.8580858934739 98.25456576744438 0.2959690809734036
146.14742527550675 47.65579190556629 91.846138163519 0.8401173508754926
393.4603826468298 489.88108524305295 83.57863833142466 0.4832187281652176
209.04410712678154 201.3958753114049 86.95305191785643 0.5693230933228848
367.15887020417995 402.7776511211758 106.33085587629895 0.8942223384925684
402.59454480932015 447.35968654452955 97.19316224444881 0.364217431608834
218.23237320626313 160.37568634080995 106.20606818196221 0.46605074656263434
229.91663949362953 240.45209491859893 96.10443649478694 0.12340169138197776
271.01135071346937 266.73365392870835 85.81361073346756 0.5103706480175717
212.0819744316467 201.4871117588254 114.92853161991492 0.24691964205655847
219.95886774037191 257.7105123693057 101.5574991538112 0.8316681920980958
356.57733667363203 274.08070501958224 111.73740950531929 0.5893333333978791
160.33299431983542 50.61917028982549 105.85466965673454 0.2428357120963448
257.4650869357993 385.2282027249668 87.66959105251362 0.7495061594753684
374.0948192307634 448.70839389172875 110.70001141481627 0.6353107832127661
214.00929115433797 180.752630530098 105.61431872500407 0.18907724798756964
270.3253006261155 332.1378241994022 83.69946726305616 0.9701999624623537
243.13068382329695 344.30884597866634 82.56546089433009 0.025476215227928423
345.4235285547377 452.3372940280553 92.21240916236697 0.378494211125165
378.37100208468905 404.7028578777733 108.0552057264041 0.21884329903957211
159.27116207838807 138.47282991425152 111.3468047354992 0.2439832702214927
401.30469776079997 440.7869780590822 113.7801074418251 0.4297266252886296
230.87584412302138 195.64881365881232 117.27550907600752 0.34241190131859944
232.06851774067798 249.06664493261837 92.7114606836232 0.04808553381209013
310.4794156328648 229.54057783993514 99.6890693423262 0.2611991784404024
331.139140396138 341.60922774248445 90.14956344315836 0.14055834219057017
392.4719685358581 468.25077394150793 101.24172962279414 0.5070830922686936
146.54339022727694 114.87881892213747 116.12781020649035 0.4609910526760689
339.77551202363486 235.44577457972758 89.1215366644297 0.28057885869686394
315.7181671857593 148.43795048432844 96.18824848775222 0.6216594805421337
275.32261087038955 358.8873062524228 86.01038920913471 0.01852858330821594
214.36413875081655 104.087050264217 87.01839055113471 0.16604470152153727
324.0979300901019 350.7454417952031 97.61998981638442 0.7930215269581061
281.5197881672383 341.9152069501929 101.96545629004974 0.23946831122201206
297.9394031736225 136.10046653446844 85.16717082836595 0.5742420043344426
260.81760545512947 248.12990548310344 92.54595772541688 0.8478958110987665
347.03716824301927 353.3611866603851 102.04818166765027 0.8876260760994192
251.5174101991772 204.90445530279143 115.16091848926004 0.6747490620006663
266.9575428300027 168.85839152633247 113.05236496739147 0.33848976062682556
250.60253757664034 335.22268814194393 88.66360574894702 0.9324888459964975
